alert_id,alert_no,station,sensor,sensor_type,alert_type,fault_type,lsl,alert_value,hsl,start_time,end_time,duration,status,timelapse,date,remarks,acknowledge
509,A_op_50_motor running torque_2023-01-18 12:45:59.135,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:45:59.135, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
510,A_op_50_motor running torque_2023-01-18 12:46:02.138,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,1,20,2023-01-18 12:46:02.138, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
511,A_op_50_motor running torque_2023-01-18 12:46:02.138,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:46:02.138, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
512,A_op_50_motor running torque_2023-01-18 12:46:02.139,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:46:02.139, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
513,A_op_50_motor running torque_2023-01-18 12:46:02.139,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:46:02.139, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
514,A_op_50_motor running torque_2023-01-18 12:46:02.139,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:46:02.139, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
515,A_op_50_motor running torque_2023-01-18 12:46:05.137,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:46:05.137, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
516,A_op_50_motor running torque_2023-01-18 12:46:05.138,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:46:05.138, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
517,A_op_50_motor running torque_2023-01-18 12:46:05.138,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:46:05.138, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
518,A_op_50_motor running torque_2023-01-18 12:46:05.138,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:46:05.138, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
519,A_op_50_motor running torque_2023-01-18 12:46:05.138,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:46:05.138, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
520,A_op_50_motor running torque_2023-01-18 12:46:08.140,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,1,20,2023-01-18 12:46:08.140, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
521,A_op_50_motor running torque_2023-01-18 12:46:08.140,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:46:08.140, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
522,A_op_50_motor running torque_2023-01-18 12:46:08.141,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:46:08.141, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
523,A_op_50_motor running torque_2023-01-18 12:46:08.141,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:46:08.141, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
524,A_op_50_motor running torque_2023-01-18 12:46:08.141,op_50,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:46:08.141, , ,Active,19 Hr 12 Min 3,2023-01-18, , 
539,A_op_60_fan running status on off_2023-01-18 12:59:13.131,op_60,fan running status on off,servo motors,Low limit,Instant,10,1,20,2023-01-18 12:59:13.131, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
541,A_op_60_fan running status on off_2023-01-18 13:00:13.205,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:13.205, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
542,A_op_60_fan running status on off_2023-01-18 13:00:13.206,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:13.206, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
543,A_op_60_fan running status on off_2023-01-18 13:00:13.206,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:13.206, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
544,A_op_60_fan running status on off_2023-01-18 13:00:13.206,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:13.206, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
545,A_op_60_fan running status on off_2023-01-18 13:00:13.206,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:13.206, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
546,A_op_60_fan running status on off_2023-01-18 13:00:13.207,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:13.207, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
547,A_op_60_fan running status on off_2023-01-18 13:00:16.211,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:16.211, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
548,A_op_60_fan running status on off_2023-01-18 13:00:16.212,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:16.212, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
549,A_op_60_fan running status on off_2023-01-18 13:00:16.212,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:16.212, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
550,A_op_60_fan running status on off_2023-01-18 13:00:16.212,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:16.212, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
551,A_op_60_fan running status on off_2023-01-18 13:00:16.212,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:16.212, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
552,A_op_60_fan running status on off_2023-01-18 13:00:16.212,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:16.212, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
553,A_op_60_fan running status on off_2023-01-18 13:00:19.214,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:19.214, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
554,A_op_60_fan running status on off_2023-01-18 13:00:19.214,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:19.214, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
555,A_op_60_fan running status on off_2023-01-18 13:00:19.214,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:19.214, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
556,A_op_60_fan running status on off_2023-01-18 13:00:19.214,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:19.214, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
557,A_op_60_fan running status on off_2023-01-18 13:00:19.215,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:19.215, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
558,A_op_60_fan running status on off_2023-01-18 13:00:19.215,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:19.215, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
559,A_op_60_fan running status on off_2023-01-18 13:00:22.217,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:22.217, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
560,A_op_60_fan running status on off_2023-01-18 13:00:22.218,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:22.218, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
561,A_op_60_fan running status on off_2023-01-18 13:00:22.218,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:22.218, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
562,A_op_60_fan running status on off_2023-01-18 13:00:22.218,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:22.218, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
563,A_op_60_fan running status on off_2023-01-18 13:00:22.218,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:22.218, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
564,A_op_60_fan running status on off_2023-01-18 13:00:22.218,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:22.218, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
565,A_op_60_fan running status on off_2023-01-18 13:00:25.220,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:25.220, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
566,A_op_60_fan running status on off_2023-01-18 13:00:25.220,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:25.220, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
567,A_op_60_fan running status on off_2023-01-18 13:00:25.220,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:25.220, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
568,A_op_60_fan running status on off_2023-01-18 13:00:25.220,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:25.220, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
569,A_op_60_fan running status on off_2023-01-18 13:00:25.221,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:25.221, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
570,A_op_60_fan running status on off_2023-01-18 13:00:25.221,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:25.221, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
571,A_op_60_fan running status on off_2023-01-18 13:00:28.216,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:28.216, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
572,A_op_60_fan running status on off_2023-01-18 13:00:28.216,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:28.216, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
573,A_op_60_fan running status on off_2023-01-18 13:00:28.216,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:28.216, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
574,A_op_60_fan running status on off_2023-01-18 13:00:28.217,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:28.217, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
575,A_op_60_fan running status on off_2023-01-18 13:00:28.217,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:28.217, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
576,A_op_60_fan running status on off_2023-01-18 13:00:28.217,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:28.217, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
578,A_op_60_fan running status on off_2023-01-18 13:00:31.222,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:31.222, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
579,A_op_60_fan running status on off_2023-01-18 13:00:31.223,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:31.223, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
581,A_op_60_fan running status on off_2023-01-18 13:00:31.223,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:31.223, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
582,A_op_60_fan running status on off_2023-01-18 13:00:31.223,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:31.223, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
583,A_op_60_fan running status on off_2023-01-18 13:00:31.223,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:31.223, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
584,A_op_60_fan running status on off_2023-01-18 13:00:31.224,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:31.224, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
585,A_op_60_fan running status on off_2023-01-18 13:00:34.220,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:34.220, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
586,A_op_60_fan running status on off_2023-01-18 13:00:34.220,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:34.220, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
587,A_op_60_fan running status on off_2023-01-18 13:00:34.221,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:34.221, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
588,A_op_60_fan running status on off_2023-01-18 13:00:34.221,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:34.221, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
589,A_op_60_fan running status on off_2023-01-18 13:00:34.221,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:34.221, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
590,A_op_60_fan running status on off_2023-01-18 13:00:34.221,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:34.221, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
591,A_op_60_fan running status on off_2023-01-18 13:00:37.221,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:37.221, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
592,A_op_60_fan running status on off_2023-01-18 13:00:37.221,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:37.221, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
593,A_op_60_fan running status on off_2023-01-18 13:00:37.221,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:37.221, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
594,A_op_60_fan running status on off_2023-01-18 13:00:37.221,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:37.221, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
595,A_op_60_fan running status on off_2023-01-18 13:00:37.222,op_60,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:00:37.222, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
596,A_op_60_fan running status on off_2023-01-18 13:00:37.222,op_60,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:00:37.222, , ,Active,18 Hr 48 Min 40,2023-01-18, , 
628,A_op_60_motor running torque_2023-01-18 13:06:01.582,op_60,motor running torque,servo motors,Low limit,Instant,10,0,20,2023-01-18 13:06:01.582, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
654,A_op_60_motor running torque_2023-01-18 13:07:01.632,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:01.632, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
655,A_op_60_motor running torque_2023-01-18 13:07:01.633,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:01.633, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
656,A_op_60_motor running torque_2023-01-18 13:07:01.633,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:01.633, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
657,A_op_60_motor running torque_2023-01-18 13:07:01.633,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:01.633, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
658,A_op_60_motor running torque_2023-01-18 13:07:01.634,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:01.634, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
659,A_op_60_motor running torque_2023-01-18 13:07:01.634,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:01.634, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
660,A_op_60_motor running torque_2023-01-18 13:07:04.639,op_60,motor running torque,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:07:04.639, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
661,A_op_60_motor running torque_2023-01-18 13:07:04.639,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:04.639, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
662,A_op_60_motor running torque_2023-01-18 13:07:04.639,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:04.639, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
663,A_op_60_motor running torque_2023-01-18 13:07:04.640,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:04.640, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
664,A_op_60_motor running torque_2023-01-18 13:07:04.640,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:04.640, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
665,A_op_60_motor running torque_2023-01-18 13:07:04.640,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:04.640, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
666,A_op_60_motor running torque_2023-01-18 13:07:07.643,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:07.643, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
667,A_op_60_motor running torque_2023-01-18 13:07:07.644,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:07.644, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
668,A_op_60_motor running torque_2023-01-18 13:07:07.644,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:07.644, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
669,A_op_60_motor running torque_2023-01-18 13:07:07.644,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:07.644, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
670,A_op_60_motor running torque_2023-01-18 13:07:07.644,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:07.644, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
671,A_op_60_motor running torque_2023-01-18 13:07:07.644,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:07.644, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
672,A_op_60_motor running torque_2023-01-18 13:07:10.646,op_60,motor running torque,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:07:10.646, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
673,A_op_60_motor running torque_2023-01-18 13:07:10.647,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:10.647, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
674,A_op_60_motor running torque_2023-01-18 13:07:10.647,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:10.647, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
675,A_op_60_motor running torque_2023-01-18 13:07:10.647,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:10.647, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
676,A_op_60_motor running torque_2023-01-18 13:07:10.647,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:10.647, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
677,A_op_60_motor running torque_2023-01-18 13:07:10.648,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:10.648, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
678,A_op_60_motor running torque_2023-01-18 13:07:13.656,op_60,motor running torque,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:07:13.656, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
679,A_op_60_motor running torque_2023-01-18 13:07:13.657,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:13.657, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
680,A_op_60_motor running torque_2023-01-18 13:07:13.657,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:13.657, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
681,A_op_60_motor running torque_2023-01-18 13:07:13.657,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:13.657, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
682,A_op_60_motor running torque_2023-01-18 13:07:13.657,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:13.657, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
683,A_op_60_motor running torque_2023-01-18 13:07:13.657,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:13.657, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
685,A_op_60_motor running torque_2023-01-18 13:07:16.655,op_60,motor running torque,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:07:16.655, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
686,A_op_60_motor running torque_2023-01-18 13:07:16.656,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:16.656, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
687,A_op_60_motor running torque_2023-01-18 13:07:16.656,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:16.656, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
688,A_op_60_motor running torque_2023-01-18 13:07:16.656,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:16.656, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
689,A_op_60_motor running torque_2023-01-18 13:07:16.657,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:16.657, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
690,A_op_60_motor running torque_2023-01-18 13:07:16.657,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:16.657, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
691,A_op_60_motor running torque_2023-01-18 13:07:19.659,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:19.659, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
692,A_op_60_motor running torque_2023-01-18 13:07:19.660,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:19.660, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
693,A_op_60_motor running torque_2023-01-18 13:07:19.660,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:19.660, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
694,A_op_60_motor running torque_2023-01-18 13:07:19.660,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:19.660, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
695,A_op_60_motor running torque_2023-01-18 13:07:19.660,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:19.660, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
696,A_op_60_motor running torque_2023-01-18 13:07:19.661,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:19.661, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
697,A_op_60_motor running torque_2023-01-18 13:07:22.671,op_60,motor running torque,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:07:22.671, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
698,A_op_60_motor running torque_2023-01-18 13:07:22.671,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:22.671, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
699,A_op_60_motor running torque_2023-01-18 13:07:22.672,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:22.672, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
700,A_op_60_motor running torque_2023-01-18 13:07:22.672,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:22.672, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
701,A_op_60_motor running torque_2023-01-18 13:07:22.672,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:22.672, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
702,A_op_60_motor running torque_2023-01-18 13:07:22.672,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:22.672, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
703,A_op_60_motor running torque_2023-01-18 13:07:25.680,op_60,motor running torque,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:07:25.680, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
704,A_op_60_motor running torque_2023-01-18 13:07:25.681,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:25.681, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
705,A_op_60_motor running torque_2023-01-18 13:07:25.681,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:25.681, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
706,A_op_60_motor running torque_2023-01-18 13:07:25.681,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:25.681, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
707,A_op_60_motor running torque_2023-01-18 13:07:25.681,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:25.681, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
708,A_op_60_motor running torque_2023-01-18 13:07:25.681,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:25.681, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
709,A_op_60_motor running torque_2023-01-18 13:07:28.670,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:28.670, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
710,A_op_60_motor running torque_2023-01-18 13:07:28.671,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:28.671, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
711,A_op_60_motor running torque_2023-01-18 13:07:28.671,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:28.671, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
712,A_op_60_motor running torque_2023-01-18 13:07:28.671,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:28.671, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
713,A_op_60_motor running torque_2023-01-18 13:07:28.672,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:28.672, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
714,A_op_60_motor running torque_2023-01-18 13:07:28.672,op_60,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 13:07:28.672, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
715,A_op_60_motor running torque_2023-01-18 13:07:31.678,op_60,motor running torque,servo motors,Low limit,One minute,10,1,20,2023-01-18 13:07:31.678, , ,Active,18 Hr 41 Min 51,2023-01-18, , 
