alert_no,station_name,sensor_name,sensor_type,alert_type,fault_type,lsl,alert_value,hsl,start_time,end_time,duration,status,timelapse,date,remarks,acknowledge
A_op_310B_y phasecurrent_2024-06-07 16:46:20.774,op_310B,y phasecurrent,phasecurrent_type2,High limit,ten minute,0,9.24,1,2024-06-07 16:46:20.774, , ,Active,0,2024-06-07, , 
A_op_310B_b phasecurrent_2024-06-07 16:46:20.774,op_310B,b phasecurrent,phasecurrent_type2,High limit,one minute,0,2.59,1,2024-06-07 16:46:20.774, , ,Active,0,2024-06-07, , 
A_op_310C_running frequency_2024-06-07 16:41:03.557,op_310C,running frequency,running_frequency_type1,High limit,ten minute,0,722,25,2024-06-07 16:41:03.557, , ,Active,0,2024-06-07, , 
A_op_310C_r phasecurrent_2024-06-07 16:52:23.612,op_310C,r phasecurrent,phasecurrent_type2,High limit,one minute,0,8.54,1,2024-06-07 16:52:23.612, , ,Active,0,2024-06-07, , 
A_op_310D_running frequency_2024-06-07 16:46:20.774,op_310D,running frequency,running_frequency_type1,High limit,ten minute,0,1223.34,25,2024-06-07 16:46:20.774, , ,Active,0,2024-06-07, , 
A_op_310D_y phasecurrent_2024-06-07 16:52:23.612,op_310D,y phasecurrent,phasecurrent_type2,High limit,one minute,0,2.56,1,2024-06-07 16:52:23.612, , ,Active,0,2024-06-07, , 
A_op_40_running frequency_2024-06-07 16:52:23.612,op_40,running frequency,running_frequency_type1,High limit,one minute,0,1303.07,25,2024-06-07 16:52:23.612, , ,Active,0,2024-06-07, , 
A_op_40_r phasecurrents_2024-06-07 16:49:23.332,op_40,r phasecurrents,phasecurrent_type2,Low limit,one minute,0,-9.52,1,2024-06-07 16:49:23.332, , ,Active,0,2024-06-07, , 
A_op_40_running load in kw_2024-06-07 14:10:38.848,op_40,running load in kw,running_load_in_kw_type1,High limit,ten minute,0,2.36,0,2024-06-07 14:10:38.848, , ,Active,0,2024-06-07, , 
A_op_40_r phasecurrent_2024-06-07 16:52:23.612,op_40,r phasecurrent,phasecurrent_type1,High limit,one minute,0,14.44,9,2024-06-07 16:52:23.612, , ,Active,0,2024-06-07, , 
A_op_50_running frequency_2024-06-07 16:41:03.557,op_50,running frequency,running_frequency_type1,High limit,ten minute,0,465.79,25,2024-06-07 16:41:03.557, , ,Active,0,2024-06-07, , 
A_op_50_y phasecurrent_2024-06-07 16:52:23.612,op_50,y phasecurrent,phasecurrent_type2,High limit,one minute,0,10.34,1,2024-06-07 16:52:23.612, , ,Active,0,2024-06-07, , 
A_op_60A_running frequency_2024-06-07 16:20:00.327,op_60A,running frequency,running_frequency_type1,High limit,ten minute,0,1028.53,25,2024-06-07 16:20:00.327, , ,Active,0,2024-06-07, , 
A_op_60A_y phasecurrent_2024-06-07 16:46:20.775,op_60A,y phasecurrent,phasecurrent_type2,High limit,ten minute,0,14.07,1,2024-06-07 16:46:20.775, , ,Active,0,2024-06-07, , 
A_op_60A_running load in kw_2024-06-07 14:10:38.850,op_60A,running load in kw,running_load_in_kw_type1,High limit,ten minute,0,6,0,2024-06-07 14:10:38.850, , ,Active,0,2024-06-07, , 
