Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"op3150_automode_selected","D0062018.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3150_break","D0062000.02",Boolean,1,RO,100,,,,,,,,,,"",
"op3150_error_active","D0062018.05",Boolean,1,RO,100,,,,,,,,,,"",
"op3150_manualmode_selected","D0062018.01",Boolean,1,RO,100,,,,,,,,,,"",
"op3150_NOK_parts","D0062012",DWord,1,RO,100,,,,,,,,,,"",
"op3150_OK_parts","D0062010",DWord,1,RO,100,,,,,,,,,,"",
"op3150_operation_complete","D0062000.01",Boolean,1,RO,100,,,,,,,,,,"",
"op3150_productionreset","D0062000.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3150_rejection1","D0062020",Word,1,RO,100,,,,,,,,,,"",
"op3150_rework","D0035000.03",DWord,1,RO,100,,,,,,,,,,"",
"op3150_shift","D0062028",Word,1,RO,100,,,,,,,,,,"",
"op3150_Total_parts","D0062014",DWord,1,RO,100,,,,,,,,,,"",
"op3150_variant","D0062022",Word,1,RO,100,,,,,,,,,,"",
